,Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,age,Debut Age,Zodiac
449,Hayoung,Choi Hayoung,2000-08-22,TRCNG,2017-10-10,TS,South Korea,181.0,,,,,M,23.0,17.0,Leo
450,Hayun,Lee Hayun,1994-08-29,,,,South Korea,,,Changwon,,Brave Girls,F,29.0,,Virgo
451,Hayun,Choi Hayun,2004-01-16,Hi-L,2021-08-11,Kpop Live,South Korea,,,Seoul,,,F,20.0,17.0,Capricorn
452,Heechan,Yang Heechan,1999-07-31,DKB,2020-02-03,Brave,South Korea,176.0,63.0,,,,M,24.0,20.0,Leo
453,Heechul,Kim Heechul,1983-07-10,Super Junior,2005-11-06,SM,South Korea,179.0,60.0,Hoengseong,,,M,40.0,22.0,Cancer
454,Heechul,Jung Heechul,1989-12-09,ZE:A,2010-01-07,Star Empire,South Korea,,,Jeju,,,M,34.0,20.0,Sagittarius
455,Heedo,Yoon Heedo,1996-04-22,B.I.G,2014-07-09,GH,South Korea,180.0,60.0,Seoul,,,M,27.0,18.0,Taurus
456,Heejin,Song Heejin,1995-08-19,Good Day,2017-08-30,C9,South Korea,,,Seoul,,,F,28.0,22.0,Leo
457,Heejin,Jeon Heejin,2000-10-19,LOONA,2018-08-20,Blockberry,South Korea,,,Seongnam,Loona 1/3|ARTMS,,F,23.0,17.0,Libra
458,Heejoo,Jeon Heejoo,1996-11-30,Ho1iday,2013-04-26,LOEN,South Korea,,,,,MyB,F,27.0,16.0,Sagittarius
459,Heejun,Oh Heejun,1996-05-08,KNK,2016-03-03,YNB,South Korea,180.0,61.0,,,,M,27.0,19.0,Taurus
460,Heeo,Gwak Heeoh,1994-05-02,4TEN,2014-08-26,Jungle,South Korea,,,,,,F,29.0,20.0,Taurus
461,Heeseok,Yun Heeseok,1997-06-10,Limitless,2019-07-09,ONO,South Korea,180.0,61.0,,,,M,26.0,22.0,Gemini
462,Heeseung,Lee Heeseung,2001-10-15,ENHYPEN,2020-11-30,Be:lift,South Korea,,,,,,M,22.0,19.0,Libra
463,Heesu,Kim Heesu,1998-03-24,Maka Maka,2020-08-04,Dreamus,South Korea,,,,,,F,25.0,22.0,Aries
464,Heesun,Park Heesun,2005-01-25,Pink Fantasy,2018-10-28,My Doll,South Korea,162.0,45.0,,,,F,19.0,13.0,Aquarius
465,Heeyu,Choi Heejae,1995-06-30,MIXX,2016-05-02,Chiko,South Korea,159.0,,,,,F,28.0,20.0,Cancer
466,Henny,Kang Gayoung,1994-12-01,,,,South Korea,168.0,50.0,,,MIXX,F,29.0,,Sagittarius
467,Henry,Henry Lau,1989-10-11,Super Junior-M,2005-11-06,SM,Canada,176.0,63.0,Toronto,,,M,34.0,16.0,Libra
468,Heo Chan,Heo Chan,1995-12-14,,,,South Korea,,,,,VICTON,M,28.0,,Sagittarius
469,High.D,Kim Dohee,1996-12-21,Sonamoo,2014-12-29,TS,South Korea,165.0,,Suwon,,,F,27.0,18.0,Sagittarius
470,HighTop,Lim Hyeontae,1994-03-19,Bigflo,2014-07-19,HO,South Korea,178.0,60.0,,,,M,29.0,20.0,Pisces
471,Hikaru,Ezaki Hikaru,2004-03-12,Kep1er,2022-03-01,WakeOne,Japan,155.0,,,,,F,20.0,17.0,Pisces
472,Himchan,Kim Himchan,1990-04-19,B.A.P,2012-01-27,TS,South Korea,180.0,69.0,Seoul,,,M,33.0,21.0,Aries
473,Hina,Nagai Hina,2003-04-07,LIGHTSUM,2021-06-10,Cube,Japan,,,Kanagawa,,,F,20.0,18.0,Aries
474,Hitomi,Honda Hitomi,2001-10-06,IZ*ONE,2018-10-29,Off The Record,Japan,,,Toghichi,,,F,22.0,17.0,Libra
475,Hohyeon,Lee Hohyeon,2001-10-14,TRCNG,2017-10-10,TS,South Korea,177.0,,,,,M,22.0,15.0,Libra
476,Hojoon,Jeon Hojoon,1992-10-31,Topp Dogg,2020-04-01,n.CH,South Korea,,,Gwangju,,,M,31.0,27.0,Scorpio
477,Hojung,Go Hojung,1994-10-20,HOTSHOT,2014-10-29,Star Crew,South Korea,,,,,,M,29.0,20.0,Libra
478,Hongbin,Lee Hongbin,1993-09-29,VIXX,2012-05-24,Jellyfish,South Korea,181.0,62.0,Seoul,,,M,30.0,18.0,Libra
479,Honggi,Lee Honggi,1990-03-02,FTISLAND,2007-06-07,FNC,South Korea,,,Gwangju,,,M,34.0,17.0,Pisces
480,Hongil,Yoon Hongil,1999-01-11,Astin,2022-11-16,AB Creative,South Korea,,,,,,M,25.0,23.0,Capricorn
481,Hongjoong,Kim Hongjoong,1998-11-07,ATEEZ,2018-10-24,KQ,South Korea,171.0,,,,,M,25.0,19.0,Scorpio
482,Hongseob,Shim Hongseob,1998-01-08,24K,2012-09-06,Choeun,South Korea,177.0,58.0,,,,M,26.0,14.0,Capricorn
483,Hongseok,Yang Hongseok,1994-04-17,PENTAGON,2016-10-10,Cube,South Korea,,,,,,M,29.0,22.0,Aries
484,Hoon,Yeo Hoonmin,1991-08-16,U-KISS,2008-08-28,NH Media,South Korea,,,Namyangju,,,M,32.0,17.0,Leo
485,Hoony,Lee Seunghoon,1992-01-11,WINNER,2014-08-12,YG,South Korea,,,Busan,,,M,32.0,22.0,Capricorn
486,Hoshi,Kwon Soonyoung,1996-06-15,Seventeen,2015-05-26,Pledis,South Korea,178.0,63.0,Namyangju,,,M,27.0,18.0,Gemini
487,Hoya,Lee Howon,1991-03-28,,,,South Korea,178.0,60.0,Busan,Infinite H,Infinite,M,32.0,,Aries
488,Hoyoung,Bae Hoyoung,1998-08-10,Verivery,2019-09-01,Jellyfish,South Korea,,,,,,M,25.0,21.0,Leo
489,Hueningkai,Kai Kamal Huening,2002-08-14,TXT,2019-03-04,Big Hit,USA,,,,,,M,21.0,16.0,Leo
490,Hui,Liang Hui,1995-07-18,24K,2012-09-06,Choeun,China,178.0,58.0,,,,M,28.0,17.0,Cancer
491,Hui,Lee Hwitaek,1993-08-28,PENTAGON,2016-10-10,Cube,South Korea,,,,,,M,30.0,23.0,Virgo
492,Huihyeon,Ki Huihyeon,1995-06-16,DIA,2015-07-14,MBK,South Korea,167.0,46.0,Namwon,,,F,28.0,20.0,Gemini
493,Huijun,Noh Huijun,2003-10-07,MCND,2020-02-27,TOP Media,South Korea,,,,,,M,20.0,16.0,Libra
494,Huiyeon,Oh Huiyeon,2005-08-01,,,,South Korea,,,,,LIGHTSUM,F,18.0,,Leo
495,Hunter,Papungkorn Lertkiatdamrong,2005-10-05,xikers,2023-03-30,KQ,Thailand,,,,,,M,18.0,17.0,Libra
496,Hwall,Heo Hyunjoon,2000-03-09,,,,South Korea,178.0,56.0,Busan,,The Boyz,M,24.0,,Pisces
497,Hwanhee,Lee Hwanhee,1998-05-06,UP10TION,2015-09-10,TOP Media,South Korea,,,Daejeon,,,M,25.0,17.0,Taurus
498,Hwani,Jo Sihyeon,1994-11-16,DUSTIN,2020-01-06,LPA,South Korea,,,,,,M,29.0,25.0,Scorpio
499,Hwanwoong,Yeo Hwanwoong,1998-08-26,Oneus,2019-01-09,RBW,South Korea,,,,,,M,25.0,20.0,Virgo
500,Hwarang,Park Jonghan,1995-12-05,Spectrum,2018-05-09,WYNN,South Korea,,,,,,M,28.0,22.0,Sagittarius
501,Hwarang,Son Jaewon,2001-04-23,TEMPEST,2022-03-02,Yuehua,South Korea,179.0,61.0,,,,M,22.0,20.0,Taurus
502,Hwasa,Ahn Hyejin,1995-07-23,Mamamoo,2014-06-18,RBW,South Korea,162.0,44.0,Jeonju,,,F,28.0,18.0,Leo
503,Hweseung,Yoo Hweseung,1995-02-28,N.Flying,2015-05-20,FNC,South Korea,,,,,,M,29.0,20.0,Pisces
504,Hwi,Lee Choonghyun,1999-02-04,Ciipher,2021-03-15,Rain,South Korea,172.0,61.0,,,,M,25.0,22.0,Aquarius
505,Hwi,Jo Mingyu,2002-09-26,Newkidd,2019-04-25,J-FLO,South Korea,,,,,,M,21.0,16.0,Libra
506,Hwi,Eun Hwi,2004-11-11,TNX,2022-05-17,P NATION,South Korea,,,Gangwon,,,M,19.0,17.0,Scorpio
507,Hwichan,Lee Heechan,1996-04-18,Limitless,2019-07-09,ONO,South Korea,,,,OMEGA X,,M,27.0,23.0,Aries
508,Hwiseo,Jo Hwihyeon,2002-07-31,H1-KEY,2022-01-05,GLG,South Korea,168.0,,,,,F,21.0,19.0,Leo
509,Hwiyoung,Kim Youngkyun,1999-05-11,SF9,2016-10-05,FNC,South Korea,,,,,,M,24.0,17.0,Taurus
510,Hyangsuk,Lee Hyangsuk,1991-04-24,2EYES,2013-07-20,SidusHQ,South Korea,165.0,,Seoul,,,F,32.0,22.0,Taurus
511,Hyebin,Kim Hyebin,1997-03-29,AREAL,2020-08-21,JZ Factory,South Korea,,,,,Rose Finger,F,26.0,23.0,Aries
512,Hyebin,Im Hyebin,1999-11-10,Highteen,2016-10-14,Elijah,South Korea,,,,,,F,24.0,16.0,Scorpio
513,Hyebin,Lee Hyebin,1996-01-12,MOMOLAND,2016-11-09,Double Kick,South Korea,165.0,44.0,Andong,,,F,28.0,20.0,Capricorn
514,Hyein,Lee Hyein,2008-04-21,NewJeans,2022-07-22,ADOR,South Korea,170.0,,Incheon,,,F,15.0,14.0,Taurus
515,Hyejeong,Shin Hyejeong,1993-08-10,AoA,2012-07-30,FNC,South Korea,170.0,48.0,Seoul,,,F,30.0,18.0,Leo
516,Hyeji,Jeong Hyeji,1992-04-02,4TEN,2014-08-26,Jungle,South Korea,,,Seoul,,,F,31.0,22.0,Aries
517,Hyejin,Baek Hyejin,1996-11-21,4TEN,2014-08-26,Jungle,South Korea,,,Sacheon,,,F,27.0,17.0,Scorpio
518,Hyejin,Kang Hyejin,2000-07-13,CRAXY,2020-03-03,SAITEINMENT,South Korea,,,,,,F,23.0,19.0,Cancer
519,Hyejoo,Park Hyunjoo,1999-01-12,Highteen,2016-10-14,Elijah,South Korea,,,,,,F,25.0,17.0,Capricorn
520,Hyeju,Hong Hyeju,2003-12-09,CLASS:y,2022-05-05,Universal,South Korea,166.0,,Seoul,,,F,20.0,18.0,Sagittarius
521,Hyemi,Pyo Hyemi,1991-04-03,9Muses,2010-08-12,Star Empire,South Korea,171.0,46.0,Gwangju,9MUSES A,,F,32.0,19.0,Aries
522,Hyemi,Kim Hyemi,1990-08-10,Fiestar,2012-08-31,LOEN,South Korea,161.0,,Seoul,,,F,33.0,22.0,Leo
523,Hyeoeun,Lee Hyoeun,1993-03-16,Stellar,2011-08-28,Pascal,South Korea,,,Seoul,,,F,30.0,18.0,Pisces
524,Hyeongjun,Song Hyeongjun,2002-11-30,CRAVITY,2020-04-14,Starship,South Korea,174.0,55.0,,,X1,M,21.0,17.0,Sagittarius
525,Hyeongseok,Chu Hyeongseok,2000-09-13,Astin,2022-11-16,AB Creative,South Korea,,,,,,M,23.0,22.0,Virgo
526,Hyeongshin,Kim Hyungshin,2002-05-03,HOT ISSUE,2017-05-17,FNC,South Korea,,,,,,F,21.0,15.0,Taurus
527,Hyeran,Noh Hyeran,1993-04-09,,,,South Korea,,,,,Brave Girls,F,30.0,,Aries
528,Hyeri,Lee Hyeri,1994-06-09,Girl's Day,2010-07-09,DreamT,South Korea,167.0,46.0,Gwangju,,,F,29.0,16.0,Gemini
529,Hyerim,Woo Hyerim,1992-09-01,Wonder Girls,2007-02-13,JYP,South Korea,167.0,,Seoul,,,F,31.0,14.0,Virgo
530,Hyerin,Kim Hyerin,1993-06-13,2EYES,2013-07-20,SidusHQ,South Korea,170.0,,Seoul,,,F,30.0,20.0,Gemini
531,Hyerin,Seo Hyerin,1993-08-23,EXID,2012-02-16,Yedang,South Korea,165.0,,Gwangju,,,F,30.0,18.0,Virgo
532,Hyerin,Jeong Hyerin,2007-04-12,tripleS,2023-02-13,MODHAUS,South Korea,,,,,,F,16.0,15.0,Aries
533,Hyewon,Kang Hyewon,1999-07-05,IZ*ONE,2018-10-29,Off The Record,South Korea,,,Yangsan,,,F,24.0,19.0,Cancer
534,Hyeyeon,Cho Hyeyeon,2000-08-05,,,,South Korea,,,,Gugudan Oguogu,Gugudan,F,23.0,,Leo
535,Hyeyeon,Kang Hyeyeon,1990-12-08,BESTie,2013-07-11,YNB,South Korea,,,,,EXID,F,33.0,22.0,Sagittarius
536,Hyogyeong,Jang Hyogyeong,1999-11-15,ARIAZ,2019-10-23,Rising Star,South Korea,,,,,,F,24.0,19.0,Scorpio
537,Hyojin,Kim Hyojin,1994-04-22,ONF,2017-08-02,WM,South Korea,,,Seoul,,,M,29.0,23.0,Taurus
538,Hyojung,Choi Hyojung,1994-07-28,Oh My Girl,2015-04-21,WM,South Korea,160.0,46.0,Yangyang,,,F,29.0,20.0,Leo
539,Hyomin,Park Sunyoung,1989-05-30,T-ara,2009-07-29,MBK,South Korea,167.0,43.0,Busan,,,F,34.0,20.0,Gemini
540,Hyori,Inn Hyori,2000-06-02,mimiirose,2022-09-16,YES IM,South Korea,161.0,,,,,F,23.0,22.0,Gemini
541,Hyorin,Kim Hyojung,1990-12-11,SISTAR,2010-03-06,Starship,South Korea,,,,SISTAR19,,F,33.0,19.0,Sagittarius
542,Hyosun,Lim Hyosun,1998-07-10,H.U.B,2017-02-09,New Planet,South Korea,170.0,54.0,,,Kiwi Band,F,25.0,18.0,Cancer
543,Hyosung,Jun Hyoseong,1989-10-13,SECRET,2009-10-13,TS,South Korea,,,Cheongju,,,F,34.0,20.0,Libra
544,Hyoyeon,Kim Hyoyeon,1989-09-22,SNSD,2021-08-04,Good Luck,South Korea,158.0,48.0,Incheon,,,F,34.0,31.0,Virgo
545,Hyuk,Yang Hyuk,2000-03-15,OMEGA X,2016-10-17,JT Corea,South Korea,183.0,67.0,,,ENOi,M,24.0,16.0,Pisces
546,Hyuk,Koo Bonhyuk,2000-04-17,TEMPEST,2022-03-02,Yuehua,South Korea,,,,,,M,23.0,21.0,Aries
547,Hyuk,Han Sanghyuk,1995-07-05,VIXX,2012-05-24,Jellyfish,South Korea,181.0,62.0,Daejeon,Big Byung,,M,28.0,16.0,Cancer
548,Hyukjin,Jang Hyukjin,1993-12-20,100%,2012-09-18,TOP Media,South Korea,,,Busan,,,M,30.0,18.0,Sagittarius
549,Hyun,Park Sunghyun,1997-08-25,7 O'clock,2014-08-26,Jungle,South Korea,176.0,58.0,Suwon,,,M,26.0,17.0,Virgo
550,Hyuna,Moon Hyuna,1987-01-19,,,,South Korea,172.0,50.0,Yeosu,,9Muses,F,37.0,,Capricorn
551,HyunA,Kim Hyuna,1992-06-06,4minute,2009-06-15,Cube,South Korea,164.0,,Jeolla,,Wonder Girls,F,31.0,17.0,Gemini
552,Hyunbin,Moon Hyunbin,2000-02-26,Ciipher,2021-03-15,Rain,South Korea,177.0,61.0,,,,M,24.0,21.0,Pisces
553,Hyunbin,Kwon Hyunbin,1997-03-04,JBJ,2017-10-18,Fave,South Korea,,,Seoul,,,M,27.0,20.0,Pisces
554,Hyunbin,Kim Hyunbin,2004-05-26,TRI.BE,2021-02-17,TR - Mellow,South Korea,,,,,,F,19.0,16.0,Gemini
555,Hyungseo,Myeong Hyeongseo,2001-06-25,CLASS:y,2022-05-05,Universal,South Korea,160.0,44.0,,,Busters,F,22.0,20.0,Cancer
556,Hyungseok,Song Hyungseok,2002-11-06,YOUNITE,2022-04-20,Brand New,South Korea,,,,,,M,21.0,19.0,Scorpio
557,Hyungseop,Ahn Hyungseop,1999-08-09,TEMPEST,2022-03-02,Yuehua,South Korea,173.0,58.0,,HyeongseopXEuiwoong,,M,24.0,22.0,Leo
558,Hyungsik,Park Hyungsik,1991-11-16,ZE:A,2010-01-07,Star Empire,South Korea,,,Yongin,,,M,32.0,18.0,Scorpio
559,Hyungwon,Chae Hyungwon,1994-01-15,MONSTA X,2014-05-14,Starship,South Korea,,,Gwangju,,,M,30.0,20.0,Capricorn
560,Hyunho,Lee Hyunho,1998-11-04,D-CRUNCH,2018-08-06,All-S,South Korea,,,,,,M,25.0,19.0,Scorpio
561,Hyunjae,Lee Jaehyun,1997-09-13,The Boyz,2017-12-31,Cre.Ker,South Korea,180.0,62.0,,,,M,26.0,20.0,Virgo
562,Hyunji,Kim Hyunji,1992-06-30,Hash Tag,2017-10-11,LUK,South Korea,165.0,,,,,F,31.0,25.0,Cancer
563,Hyunjin,Kim Hyunjin,2000-11-15,LOONA,2018-08-20,Blockberry,South Korea,,,Jeonju,Loona 1/3,,F,23.0,17.0,Scorpio
564,Hyunjin,Hwang Hyunjin,2000-03-20,Stray Kids,2018-03-25,JYP,South Korea,,,Seoul,,,M,23.0,18.0,Pisces
565,Hyunjoo,Lee Hyunjoo,1998-02-05,UNI.T,2018-05-18,Unit Culture,South Korea,,,Seoul,,APRIL,F,26.0,20.0,Aquarius
566,Hyunjun,Bae Hyunjun,2003-06-06,ATBO,2022-07-27,IST,South Korea,180.0,,Seoul,,,M,20.0,19.0,Gemini
567,Hyunjun,Lee Hyunjun,1999-12-21,IZ,2017-08-31,Music K,South Korea,,,,,,M,24.0,17.0,Sagittarius
568,Hyunkyung,Kim Hyunjong,1998-09-05,Romeo,2015-11-04,CT,South Korea,,,,,,M,25.0,17.0,Virgo
569,Hyunmin,Byun Hyunmin,1999-04-17,,,,South Korea,170.0,,,,RAINZ,M,24.0,,Aries
570,Hyunoh,Park Hyunoh,1999-02-12,D-CRUNCH,2018-08-06,All-S,South Korea,,,,,,M,25.0,19.0,Aquarius
571,Hyunseo,Go Hyunseo,1999-06-17,,,,South Korea,,,,,G-reyish,F,24.0,,Gemini
572,Hyunseong,Shim Hyunseong,1993-06-09,Boyfriend,2011-05-26,Starship,South Korea,178.0,58.0,Yeongcheon,,,M,30.0,17.0,Gemini
573,Hyunseung,Jang Hyunseung,1989-09-03,,,,South Korea,177.0,58.0,Suncheon,Troublemaker,Beast,M,34.0,,Virgo
574,Hyunseung,Kim Hyunseung,2002-10-15,YOUNITE,2022-04-20,Brand New,South Korea,,,,,,M,21.0,19.0,Libra
575,Hyunsik,Lim Hyunsik,1992-03-07,BtoB,2012-03-21,Cube,South Korea,177.0,66.0,Ilsan,,,M,32.0,20.0,Pisces
576,Hyunsoo,Kim Hyunsoo,1995-04-12,D1CE,2019-08-01,Happyface,South Korea,176.0,60.0,,,,M,28.0,24.0,Aries
577,Hyunsoo,Jang Hyunsoo,2003-09-16,TNX,2022-05-17,P NATION,South Korea,,,Sangju,,,M,20.0,18.0,Virgo
578,Hyunsuk,Yoon Hyunsuk,2001-09-08,CIX,2019-07-23,C9,South Korea,188.0,,,,,M,22.0,17.0,Virgo
579,Hyunsuk,Choi Hyunsuk,1999-04-21,Treasure,2020-08-07,YG,South Korea,,,Daegu,,,M,24.0,21.0,Taurus
580,Hyunuk,Han Hyunuk,1994-09-26,IN2IT,2016-01-27,Star Empire,South Korea,179.0,63.0,,,,M,29.0,21.0,Libra
581,Hyunwoo,Baek Hyunwoo,1999-03-19,D-CRUNCH,2018-08-06,All-S,South Korea,,,,,,M,24.0,19.0,Pisces
582,Hyunwoo,Kim Hyunwoo,2001-01-21,TRCNG,2017-10-10,TS,South Korea,173.0,,,,,M,23.0,16.0,Aquarius
583,Hyunwoo,Choi Hyunwoo,2004-12-04,xikers,2023-03-30,KQ,South Korea,,,Gangwon,,,M,19.0,18.0,Sagittarius
584,Hyunwook,Ji Hyunwook,1998-07-01,D-CRUNCH,2018-08-06,All-S,South Korea,,,,,,M,25.0,20.0,Cancer
585,Hyunwoong,Kim Hyunwoong,1998-02-08,14U,2017-04-17,BG,South Korea,,,,,,M,26.0,19.0,Aquarius
586,Hyunyoung,Cho Hyunyoung,1991-08-11,Rainbow,2009-11-12,DSP,South Korea,160.0,41.0,Seoul,Rainbow Blaxx| Rainbow Pixie,,F,32.0,18.0,Leo
587,I,Cha Yoonji,1996-12-02,,,,South Korea,,,Busan,,,F,27.0,,Sagittarius
588,I.L,Kim Jiwon,1997-07-01,IRRIS,2022-07-06,Mellow,South Korea,,,Daegu,,Good Day| RedSquare,F,26.0,25.0,Cancer
589,I.M,Lim Changkyun,1996-01-26,MONSTA X,2014-05-14,Starship,South Korea,,,Gwangju,,,M,28.0,18.0,Aquarius
590,I.N,Yang Jeongin,2001-02-08,Stray Kids,2018-03-25,JYP,South Korea,,,Busan,,,M,23.0,17.0,Aquarius
591,Iaan,Yoo Dongju,2002-03-22,XUM,2020-09-22,A100,South Korea,,,,,NeonPunch,F,21.0,18.0,Aries
592,Ida,Ko Chaeyoung,2000-05-19,MAJORS,2021-03-09,ANS,South Korea,163.0,43.0,,,,F,23.0,20.0,Taurus
593,Ilhoon,Jung Ilhoon,1994-10-04,BtoB,2012-03-21,Cube,South Korea,176.0,64.0,Seoul,,,M,29.0,17.0,Libra
594,Inho,Hwang Inho,1993-06-21,IN2IT,2016-01-27,Star Empire,South Korea,177.0,58.0,,,,M,30.0,22.0,Cancer
595,Inpyo,Lee Inpyo,1995-08-14,IN2IT,2016-01-27,Star Empire,South Korea,182.0,66.0,,,,M,28.0,20.0,Leo
596,Inseong,Jeong Inseong,1994-07-01,KNK,2016-03-03,YNB,South Korea,183.0,71.0,,,,M,29.0,21.0,Cancer
597,Inseong,Kim Inseong,1993-07-12,SF9,2016-10-05,FNC,South Korea,,,,,,M,30.0,23.0,Cancer
598,Insoo,Kang Insoo,1988-03-10,MYNAME,2011-10-27,H2,South Korea,,,Suwon,,,M,36.0,23.0,Pisces
599,Intak,Hwang Intak,2003-08-31,P1Harmony,2020-10-28,FNC,South Korea,,,,,,M,20.0,17.0,Virgo
600,Ireh,Cho Seoyoung,2002-04-30,Purple Kiss,2021-03-15,RBW,South Korea,,,,,,F,21.0,18.0,Taurus
601,Irene,Bae Juhyun,1991-03-29,Red Velvet,2014-08-01,SM,South Korea,161.0,,Daegu,Red Velvet - IRENE SEULGI,,F,32.0,23.0,Aries
602,Isa,Lee Chaeyoung,2002-01-23,STAYC,2020-11-12,Hi-Up,South Korea,165.0,45.0,Busan,,,F,22.0,18.0,Aquarius
603,Isaac,Voo Isaak,1994-12-12,IN2IT,2016-01-27,Star Empire,Malaysia,176.0,56.0,,,,M,29.0,21.0,Sagittarius
604,Isol,,1997-05-01,Lusty,2019-06-26,babaplay,South Korea,166.0,48.0,Seoul,,,F,26.0,22.0,Taurus
605,IU,Lee Jieun,1993-05-16,,,,South Korea,162.0,,Seoul,,,F,30.0,,Taurus
606,Ivan,Park Yooseong,2001-10-12,Kingdom,2021-02-18,GF,South Korea,,,,,,M,22.0,19.0,Libra
607,J,Lee Yeji,1998-02-12,ANS,2019-09-16,ANS,South Korea,,,,,,F,26.0,21.0,Aquarius
608,J,Jang Yeeun,2004-12-09,STAYC,2020-11-12,Hi-Up,South Korea,170.0,48.0,Daejeon,,,F,19.0,15.0,Sagittarius
609,J.Min,Shin Minjung,1994-11-20,Tiny-G,2012-08-23,GNG,South Korea,155.0,,,,,F,29.0,17.0,Scorpio
610,J.seph,Kim Taehyung,1992-06-21,KARD,2007-03-29,DSP,South Korea,,,,,,M,31.0,14.0,Cancer
611,J.YOU,Kim Jaeyu,2000-11-02,TOO,2020-04-01,n.CH,South Korea,,,,,,M,23.0,19.0,Scorpio
612,Jackie,Kang Chaeyeon,2001-11-17,ICHILLIN',2021-09-08,KM,USA,,,Los Angeles,,,F,22.0,19.0,Scorpio
613,Jackson,Jackson Wang,1994-03-28,GOT7,2014-01-16,JYP,Hong Kong,174.0,63.0,Hong Kong,,,M,29.0,19.0,Aries
614,Jacob,Bae Joonyoung,1997-05-30,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,60.0,Toronto,,,M,26.0,20.0,Gemini
615,Jacob,Zhang Peng,1996-09-07,VAV,2015-10-31,A team,China,184.0,63.0,,,,M,27.0,19.0,Virgo
616,Jae,Park Jaehyung,1992-09-15,DAY6,2015-09-07,JYP,South Korea,,,Buenos Aires,,,M,31.0,22.0,Virgo
617,Jaebin,Deung Bin,1997-02-13,VARSITY,2017-01-05,GKC,China,168.0,,Hunan,,,M,27.0,19.0,Aquarius
618,Jaechan,Park Jaechan,2001-12-06,Dongkiz,2019-04-24,Dongyo,South Korea,177.0,58.0,,,,M,22.0,17.0,Sagittarius
619,Jaehan,Kim Jaehan,1995-07-01,OMEGA X,2016-10-17,JT Corea,South Korea,,,,,Spectrum,M,28.0,21.0,Cancer
620,Jaehee,Lee Jaehee,2004-03-18,Weeekly,2020-07-30,Play M,South Korea,166.0,,,,,F,19.0,16.0,Pisces
621,Jaeho,Kim Jaeho,1992-09-17,HISTORY,2013-04-26,LOEN,South Korea,174.0,58.0,,,,M,31.0,20.0,Virgo
622,Jaehwan,Kim Jaehwan,1996-05-27,Wanna One,2017-08-07,YMC,South Korea,,,Seoul,,,M,27.0,21.0,Gemini
623,Jaehyo,Ahn Jaehyo,1990-12-23,Block B,2011-04-15,KQ,South Korea,182.0,60.0,Busan,,,M,33.0,20.0,Capricorn
624,Jaehyuk,Yoon Jaehyuk,2001-07-23,Treasure,2020-08-07,YG,South Korea,,,,,,M,22.0,19.0,Leo
625,Jaehyun,Bong Jaehyun,1999-01-04,Golden Child,2017-08-28,Woollim,South Korea,,,,,,M,25.0,18.0,Capricorn
626,Jaehyun,Kim Jaehyun,1994-07-15,N.Flying,2015-05-20,FNC,South Korea,,,Seoul,,,M,29.0,20.0,Cancer
627,Jaehyun,Jung Yoonoh,1997-02-14,NCT,2016-04-09,SM,South Korea,,,Seoul,NCT U| NCT 127,,M,27.0,19.0,Aquarius
628,Jaejin,Lee Jaejin,1991-12-17,FTISLAND,2007-06-07,FNC,South Korea,,,Cheongju,,,M,32.0,15.0,Sagittarius
629,Jaejoong,Kim Jaejoong,1986-01-26,JYJ,2010-09-08,C-JeS,South Korea,,,Gongju,,TVXQ,M,38.0,24.0,Aquarius
630,Jaekyung,Kim Jaekyung,1988-12-24,Rainbow,2009-11-12,DSP,South Korea,168.0,45.0,Seoul,Rainbow Blaxx,,F,35.0,20.0,Capricorn
631,Jaemin,Na Jaemin,2000-08-13,NCT,2016-04-09,SM,South Korea,,,,NCT Dream,,M,23.0,15.0,Leo
632,Jaemin,Shin Jaemin,1996-06-08,XEED,2022-12-01,Nature Space,South Korea,,,,,,M,27.0,26.0,Gemini
633,Jaeseok,Park Jaeseok,1995-11-20,,,,South Korea,,,,,Golden Child,M,28.0,,Scorpio
634,Jaeun,Ha Jaeun,1999-09-28,ARGON,2019-03-11,MSH,South Korea,,,,,,M,24.0,19.0,Libra
635,Jaeyoon,Lee Jaeyoon,1994-08-09,SF9,2016-10-05,FNC,South Korea,,,,,,M,29.0,22.0,Leo
636,Jaeyun,Moon Jaeyun,2002-07-02,8TURN,2023-01-30,MNH,New Zealand,178.0,64.0,,,,M,21.0,20.0,Cancer
637,Jaeyun,Lee Jaeyun,2000-08-16,TOO,2020-04-01,n.CH,South Korea,,,,,,M,23.0,19.0,Leo
638,Jahan,Im Jihun,2002-08-01,Kingdom,2021-02-18,GF,South Korea,,,,,,M,21.0,18.0,Leo
639,Jake,Shim Jaeyoon,2002-11-15,ENHYPEN,2020-11-30,Be:lift,South Korea,,,,,,M,21.0,18.0,Scorpio
640,Jamie,Park Jimin,1997-07-05,15&,2012-10-05,JYP,South Korea,160.0,,Junggu,,,F,26.0,15.0,Cancer
641,Jane,Sung Jiyeon,1997-12-20,MOMOLAND,2016-11-09,Double Kick,South Korea,167.0,46.0,Changwon,,,F,26.0,18.0,Sagittarius
642,Jangjun,Lee Jangjun,1997-03-03,Golden Child,2017-08-28,Woollim,South Korea,,,,,,M,27.0,20.0,Pisces
643,Jay,Park Jongsung,2002-04-20,ENHYPEN,2020-11-30,Be:lift,South Korea,,,,,,M,21.0,18.0,Taurus
